name          ra            dec             DM        ne2001       ymw16         scattering_time freq   tau_err_lower     tau_err_upper   publication                             telescope
170827        00:49:19      -65:33:02       176.4     37           26            0.0041      835           0.0027             0.0027      https://arxiv.org/pdf/1803.05697.pdf    UTMOST
170922        21:29:50.6    -07:59:40.5     1111      45           -1            29.1        835           2.6                2.8         https://arxiv.org/pdf/1905.02293.pdf    UTMOST 
180528        06:38:49.8    -49:53:59.0     899.3     70           -1            0.95        835           0.35               0.31        https://arxiv.org/pdf/1905.02293.pdf    UTMOST
181016        15:46:20.8    -25:24:32.6     1982.8    89           69            5.70        835           0.75               0.82        https://arxiv.org/pdf/1905.02293.pdf    UTMOST
181017        22:05:54.8    -08:50:34.2     240.0     39           27            0.16        835           0.0068             0.008       https://arxiv.org/pdf/1905.02293.pdf    UTMOST
181228        06:09:23.6    -45:58:02.4     354.2     58           61            <0.39        835           0.193              0.078       https://arxiv.org/pdf/1905.02293.pdf    UTMOST
190322        04:46:14.45   -66:55:27.8     724.2     47.1         46.8          <0.644     835           0.0032             0.0042      this_work                                UTMOST
190806        00:02:21.38   -07:34:54.6     388.5     30.8         21.6          8.266         835        1.003               1.142        this_work                               UTMOST
191107        08:01:57.1    -13:44:15.5     714.3     127.2        146           0.022       835           0.0038             0.0038      Gupta_et_al_(2021,_inprep)              UTMOST
191223        04:46:14.5    -66:55:27.8     724.2     47.1         46.8          3.08        835           0.403              0.42        this_work                               UTMOST
200508        09:01:32.39   -65:35:42.7     629       144.9        248.2         <0.4       835          0.106              0.14        this_work                                 UTMOST
#200514        --------------------  No voltages  ------ and low S/N -------------------
200607        13:41:30.65   -05:08:24.1     466.9     30           25            0.3         835           0.021              0.022       this_work                               UTMOST
#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#ASKAP bursts
#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
180924     21:44:25.255      -40:54:00.1   362.4      40.5      -1               0.68       1300           0.03            0.03         http://arxiv.org/pdf/2006.16502.pdf       ASKAP 
181112     21:49:23.630      -52:58:15.39  588.8      41.7      -1               0.021      1300           0.001           0.001        http://arxiv.org/pdf/2006.16502.pdf       ASKAP 
190102     21:29:39.76       -79:28:32.5   364.4      57.4      -1               0.041      1300           0.002           0.003        http://arxiv.org/pdf/2006.16502.pdf       ASKAP 
190608     22:16:04.75       -07:53:53.6   339.5      37.3      -1               3.3        1300           0.2             0.2          http://arxiv.org/pdf/2006.16502.pdf       ASKAP 
190611.2   21:22:58.91       -79:23:51.3   321.4      57.8      -1               0.18       1300           0.02            0.02         http://arxiv.org/pdf/2006.16502.pdf       ASKAP 
190711     21:57:40.68       -80:21:28.8   590.5      56.5      -1               <1.12      1300           0               0            http://arxiv.org/pdf/2006.16502.pdf       ASKAP 
#Shivani's burst                                                                                                                                 
191001     21:33:24.37       -54:44:51.86  507.9      44        31               3.3        824            0.2             0.2          http://arxiv.ord/pdf/2008.12488.pdf       ASKAP   
#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Repeating FRB bursts
#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
180916    01:58:00.75       +65:43:00.315 348.7       199       243             0.0027      1700          0.0005           0.0008       https://nature.com/articles/s41586-019-1866-z.pdf  CHIME(EVN)_
200120    09:57:54.7        +68:49:00.8   87.752      41.62     -1              <0.0001     1400          0                0            https://arxiv.org/pdf/2105.11446.pdf      CHIME(EVN)_Nimmo_etal_2021
121102    05:31:58.7        +33:08:52.8   563.5       188       287             <9.6        500           0                0            https://arxiv.org/pdf/1906.11305.pdf      CHIME_Josephy_et_al_2019



